tenure,MonthlyCharges,TotalCharges,avg_monthly_charges,charges_tenure_ratio,num_services,has_streaming,has_security_support,contract_risk,payment_risk,is_new_customer,gender_Male,SeniorCitizen_Yes,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn
12,19.8,202.25,16.854166666666668,1.1089848308051342,1,0,0,2,1,0,True,False,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,0
1,20.15,20.15,20.15,0.9527186761229315,1,0,0,3,2,1,True,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,1
58,59.9,3505.1,60.432758620689654,0.9750498161713115,5,0,1,1,1,0,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,True,False,False,0
49,59.6,2970.3,60.61836734693878,0.9672440631934554,5,0,1,3,1,0,True,False,True,True,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0
30,55.3,1530.6,51.019999999999996,1.063052672049212,4,0,1,3,1,0,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0
47,99.35,4749.15,101.04574468085106,0.973582978013615,6,1,1,3,3,0,True,False,True,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,1
1,30.2,30.2,30.2,0.967948717948718,2,0,1,3,3,1,True,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
72,90.25,6369.45,88.46458333333334,1.0087790792445799,9,1,1,1,1,0,True,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,True,False,False,0
17,64.7,1093.1,64.3,0.990811638591118,4,1,0,3,2,0,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,1
71,96.35,6766.95,95.30915492957746,1.0004241037152948,7,0,1,1,1,0,False,True,True,False,True,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,True,False,False,0
2,95.5,181.65,90.825,1.0400217805608494,5,1,0,3,1,1,True,True,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False,0
27,66.15,1874.45,69.42407407407407,0.9393094743485236,6,0,1,2,2,0,False,False,True,True,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,True,0
1,20.2,20.2,20.2,0.9528301886792453,1,0,0,3,1,1,True,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,0
1,45.25,45.25,45.25,0.9783783783783784,2,0,0,3,1,1,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
72,99.9,7251.7,100.71805555555555,0.9821265207477096,7,1,1,1,1,0,False,False,True,True,True,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,0
5,69.7,316.9,63.379999999999995,1.0826343584964275,2,0,0,3,3,1,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1
46,74.8,3548.3,77.13695652173914,0.9572934924741952,3,0,0,3,1,0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,0
34,106.35,3549.25,104.38970588235294,1.0091118398102281,7,1,1,3,3,0,True,False,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False,1
11,97.85,1105.4,100.4909090909091,0.9641257613758508,6,1,0,3,1,0,False,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,1
10,49.55,475.7,47.57,1.020177064031295,3,0,1,2,2,0,True,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,0
70,69.2,4872.35,69.605,0.9801005594504638,6,1,1,1,1,0,False,False,True,True,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,True,True,False,False,0
17,20.75,418.25,24.602941176470587,0.810453762205629,1,0,0,2,2,0,False,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,0
63,79.85,4861.45,77.16587301587302,1.021545553310522,8,1,1,1,1,0,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,True,False,False,0
13,76.2,981.45,75.49615384615385,0.9961285132485294,7,1,1,3,3,0,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,0
49,84.5,3906.7,79.72857142857143,1.0467173951513007,4,1,0,3,3,0,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,0
2,49.25,97.0,48.5,0.9949494949494949,3,0,1,3,2,1,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
2,80.65,144.15,72.075,1.1036606226479644,3,1,0,3,3,1,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,1
52,79.75,4217.8,81.11153846153846,0.9712398707199401,7,1,1,1,1,0,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,True,True,False,False,0
69,64.15,4254.1,61.6536231884058,1.0238833244662395,6,0,1,1,1,0,False,False,True,True,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,True,True,False,False,0
43,90.25,3838.75,89.27325581395348,0.9997423842339151,5,1,1,3,3,0,False,True,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,0
15,99.1,1426.4,95.09333333333333,1.031289024559456,6,1,1,3,1,0,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False,1
25,69.5,1752.65,70.10600000000001,0.9774140016313672,6,1,1,3,1,0,False,True,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,0
8,80.65,633.3,79.1625,1.0060813971620148,4,0,1,3,1,0,False,True,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,1
60,74.85,4456.35,74.27250000000001,0.9943870603474042,7,1,1,2,1,0,False,True,True,True,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,True,False,True,True,False,False,0
18,95.45,1752.55,97.36388888888888,0.9703764367004605,5,1,0,3,3,0,True,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,1
63,99.65,6311.2,100.17777777777778,0.9849000658906216,6,1,1,2,1,0,False,False,True,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,True,True,False,False,0
66,108.45,7076.35,107.21742424242424,1.0021491525898338,8,1,1,2,3,0,True,True,True,True,True,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,True,False,0
34,24.95,894.3,26.302941176470586,0.9138209630507379,2,0,0,1,1,0,False,False,True,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,0
72,107.5,7853.7,109.07916666666667,0.9765698928801242,7,1,1,1,1,0,False,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,True,False,False,0
47,100.5,4707.1,100.15106382978725,0.9935634504953618,6,1,0,3,3,0,False,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,0
60,89.9,5450.7,90.845,0.9788230170395776,5,1,1,3,1,0,True,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,0
72,42.1,2962.0,41.138888888888886,0.9990771259063943,4,0,1,1,1,0,True,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,0
18,54.4,957.1,53.172222222222224,1.0042046969541585,4,0,1,2,1,0,False,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,True,False,False,0
9,94.4,857.25,95.25,0.9807792207792209,5,1,0,3,3,0,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,1
3,75.3,244.1,81.36666666666666,0.9142047753945771,6,1,1,3,3,1,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,True,False,0
47,78.9,3650.35,77.66702127659575,1.0029615805915049,4,0,1,2,3,0,True,False,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,0
31,79.2,2497.2,80.55483870967741,0.9711257020805317,7,1,1,1,2,0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,0
50,20.15,930.9,18.618,1.0271179529003975,1,0,0,1,1,0,False,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,0
10,79.85,887.35,88.735,0.8898423134785758,4,0,1,3,2,0,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,0
1,49.05,49.05,49.05,0.98001998001998,3,0,1,3,2,1,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0
52,20.4,1090.65,20.974038461538463,0.928368266748348,1,0,0,2,3,0,False,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,0
64,111.6,7099.0,110.921875,0.9971241100097724,8,1,1,1,1,0,True,True,True,True,True,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,False,0
62,24.25,1424.6,22.97741935483871,1.0113682227902596,2,0,0,1,1,0,True,False,True,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,0
3,64.5,177.4,59.13333333333333,1.0726164079822615,5,1,1,3,1,1,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,0
56,110.5,6139.5,109.63392857142857,0.9987894439512549,8,1,1,2,3,0,False,True,False,False,True,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False,False,True,False,0
46,55.65,2688.85,58.45326086956521,0.936029398321663,3,1,0,2,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,0
8,54.65,482.25,60.28125,0.8917899031106578,4,0,1,3,2,0,False,False,True,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
30,74.75,2111.3,70.37666666666668,1.0472610096670245,6,1,1,3,3,0,True,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,0
45,25.9,1216.6,27.035555555555554,0.9238268864933418,2,0,0,2,1,0,False,False,True,True,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,0
1,79.35,79.35,79.35,0.9875544492843809,3,1,0,3,3,1,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,1
11,50.55,565.35,51.39545454545455,0.9647783464908475,4,1,1,3,3,0,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,0
7,75.15,496.9,70.98571428571428,1.0439571343520542,3,0,0,3,1,0,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,1
42,103.8,4327.5,103.03571428571429,0.9977342945417095,7,1,1,3,1,0,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0
49,20.15,973.35,19.864285714285714,0.9657651489216021,1,0,0,1,1,0,False,False,True,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,0
9,99.3,918.75,102.08333333333333,0.9632983023443816,6,1,1,3,1,0,True,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False,0
35,62.15,2215.45,63.29857142857142,0.9665844608856008,4,1,1,2,1,0,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,0
48,20.65,1057.0,22.020833333333332,0.8970135746606335,1,0,0,1,1,0,False,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,0
46,19.95,927.1,20.15434782608696,0.943068543829,1,0,0,1,2,0,False,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,True,0
29,33.75,1009.25,34.80172413793103,0.9426920298579341,2,1,0,3,2,0,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0
30,82.05,2570.2,85.67333333333333,0.9466579493885086,4,0,1,3,1,0,True,False,True,True,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0
1,74.7,74.7,74.7,0.9867899603698811,3,0,1,3,3,1,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,0
66,84.0,5714.25,86.57954545454545,0.9591280653950954,8,1,1,1,2,0,True,False,True,True,True,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,0
65,111.05,7107.0,109.33846153846154,1.0064486893474622,8,1,1,3,1,0,False,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,True,True,False,False,0
72,100.9,7459.05,103.59791666666666,0.9646463640528214,7,1,1,1,1,0,True,False,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False,False,0
12,78.95,927.35,77.27916666666667,1.0085697556821207,4,0,1,3,3,0,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1
71,66.85,4748.7,66.8830985915493,0.984781210448783,6,0,1,2,1,0,True,False,True,True,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,True,True,False,False,0
5,21.05,113.85,22.77,0.8855700462768196,1,0,0,3,2,1,True,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,1
52,21.0,1107.2,21.292307692307695,0.9420289855072462,1,0,0,1,1,0,True,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,0
25,98.5,2514.5,100.58,0.9696790706832054,6,1,1,3,3,0,False,True,True,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False,1
1,20.2,20.2,20.2,0.9528301886792453,1,0,0,3,2,1,True,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,0
1,19.45,19.45,19.45,0.9511002444987775,1,0,0,3,3,1,False,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,0
38,95.0,3605.6,94.88421052631578,0.9907783510813482,6,1,1,2,1,0,True,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False,0
66,45.55,3027.25,45.86742424242424,0.9718904065303483,4,1,1,2,1,0,False,True,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,0
68,110.0,7611.85,111.93897058823529,0.9739773563285742,8,1,1,1,1,0,True,False,True,False,True,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,False,1
5,24.3,100.2,20.04,1.1549429657794679,1,0,0,3,2,1,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
72,104.15,7303.05,101.43125,1.0167795472573067,7,1,1,2,3,0,False,False,True,True,True,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,True,True,False,True,False,True,False,0
32,30.15,927.65,28.9890625,1.0053665398843328,2,0,1,2,2,0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,0
43,94.35,3921.3,91.19302325581396,1.0233963120853617,5,1,0,2,2,0,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,True,0
72,19.4,1363.25,18.93402777777778,0.9732102421180978,1,0,0,1,1,0,True,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,0
55,96.75,5238.9,95.25272727272727,1.0051663235044108,6,1,1,3,3,0,True,False,True,False,True,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,1
52,57.95,3042.25,58.50480769230769,0.9738708895532036,5,0,1,2,1,0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,0
43,91.65,3954.1,91.95581395348837,0.9859523154286859,5,1,1,3,3,0,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False,0
37,76.5,2868.15,77.51756756756757,0.9743042527924548,3,0,0,3,3,0,False,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1
64,54.6,3423.5,53.4921875,1.0019784946236558,5,1,1,1,3,0,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,True,False,True,False,0
3,89.85,248.4,82.8,1.0721957040572792,5,1,1,3,3,1,True,False,True,True,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,0
36,31.05,1126.35,31.287499999999998,0.961672473867596,2,0,1,1,1,0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0
10,100.25,1064.65,106.465,0.9328618620015818,6,1,1,3,3,0,False,False,True,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,1
41,20.65,835.15,20.36951219512195,0.9663299663299664,1,0,0,1,2,0,False,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,0
27,85.2,2151.6,79.68888888888888,1.0559074635086754,5,0,1,3,1,0,True,False,True,True,True,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,0
56,99.8,5515.45,98.49017857142857,1.003114090586831,6,1,0,2,1,0,False,False,True,True,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,True,True,False,False,0
6,20.7,112.75,18.791666666666668,1.0458947368421052,1,0,0,3,2,1,False,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,0
3,74.4,229.55,76.51666666666667,0.9597935927757473,3,0,0,3,3,1,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1
7,50.7,350.35,50.050000000000004,0.9931439764936336,3,0,1,3,2,0,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
4,20.85,62.9,15.725,1.2466367713004485,1,0,0,3,2,1,False,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,0
33,88.95,3027.65,91.7469696969697,0.9590609837779557,5,1,1,1,3,0,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,True,False,True,False,0
27,78.05,2135.5,79.0925925925926,0.9744971098265895,4,0,0,3,3,0,False,True,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,1
72,23.55,1723.95,23.94375,0.9441242796291656,2,0,0,1,1,0,True,False,True,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,False,0
1,19.75,19.75,19.75,0.9518072289156626,1,0,0,3,2,1,True,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,0
71,56.45,3985.35,56.131690140845066,0.98806809077126,5,1,1,2,3,0,True,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,True,False,True,False,True,False,0
13,85.95,1215.65,93.51153846153846,0.9094127701135393,4,1,0,3,3,0,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,0
25,58.6,1502.65,60.106,0.9589892972866821,6,1,1,3,1,0,False,False,True,True,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,True,True,False,False,1
67,50.55,3260.1,48.65820895522388,1.0179585825493673,3,0,1,1,1,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,0
1,35.45,35.45,35.45,0.9725651577503429,2,1,0,3,3,1,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,1
2,44.35,81.25,40.625,1.0654654654654654,2,0,0,3,3,1,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
43,25.7,1188.2,27.632558139534886,0.8975795971410006,2,0,0,1,1,0,False,False,False,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,True,False,False,0
23,75.0,1778.5,77.32608695652173,0.9575353871773522,3,0,1,3,1,0,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0
64,20.2,1277.75,19.96484375,0.9635177939258431,1,0,0,1,2,0,False,False,True,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,0
57,19.6,1170.55,20.5359649122807,0.9101054946845344,1,0,0,1,2,0,True,False,False,True,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,True,0
1,70.45,70.45,70.45,0.9860041987403779,2,0,0,3,2,1,False,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1
