customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0012-OGLHO,Male,1,Yes,Yes,9,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,One year,Yes,Mailed check,104.67,901.43,Yes
0013-CNQDR,Male,0,No,No,25,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,No,Bank transfer (automatic),94.8,2323.52,Yes
0014-HDBFV,Female,0,Yes,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),39.09,228.57,No
0015-JDVRZ,Male,0,No,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),39.36,420.7,No
0016-LBJDN,Female,1,Yes,Yes,39,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),70.34,2651.95,No
0017-POHNW,Female,0,Yes,No,17,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,87.06,1433.54,No
0018-YHUPM,Female,0,Yes,No,47,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,No,Electronic check,106.01,5119.41,No
0019-ROUXZ,Male,0,No,No,24,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Credit card (automatic),109.5,2750.26,No
0020-YMIOM,Male,0,Yes,Yes,24,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,99.54,2454.08,No
0021-AYGIX,Female,1,Yes,No,0,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),100.89,,Yes
0022-ALHXK,Male,1,No,No,34,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,Yes,Electronic check,141.73,4698.4,No
0023-SQHCC,Male,0,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),129.99,9576.77,No
0024-AEJGZ,Female,1,Yes,No,16,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,One year,No,Electronic check,125.29,1970.58,No
0025-IGIHL,Female,0,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,35.29,145.37,No
0026-BAPWW,Male,0,No,No,72,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),84.56,5792.76,Yes
0027-XECLH,Female,1,Yes,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),42.92,339.08,Yes
0028-VCACE,Female,0,No,Yes,13,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,106.32,1366.11,No
0029-ONCAE,Male,0,Yes,No,2,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,82.33,161.84,Yes
0030-ZWNGI,Male,0,Yes,No,2,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.21,37.21,No
0031-OOZJM,Female,0,No,No,6,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),100.26,612.07,No
0032-SGQTD,Male,0,No,No,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),47.1,939.23,No
0033-EWGMO,Male,0,Yes,No,20,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),101.96,2062.41,No
0034-KDMGS,Male,0,Yes,No,23,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.89,449.0,No
0035-VBJMY,Male,0,Yes,Yes,21,Yes,No,DSL,No,No,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),95.48,1952.67,No
0036-UFLLT,Male,0,Yes,No,17,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,101.56,1752.88,No
0037-KZWYG,Male,1,No,No,40,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,109.75,4382.89,Yes
0038-AAYYT,Female,0,No,Yes,67,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),80.51,5585.12,No
0039-MICGF,Female,0,Yes,Yes,7,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),114.15,829.53,No
0040-HIEAS,Female,0,No,Yes,3,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,65.82,192.6,No
0041-JLXOV,Female,0,No,No,13,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,117.82,1464.22,Yes
0042-XITQQ,Female,0,Yes,No,0,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,128.36,,No
0043-ZTLGB,Male,0,No,No,53,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Mailed check,106.55,5554.61,Yes
0044-CQEQX,Male,1,No,No,6,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),16.12,98.76,No
0045-QQBBV,Female,1,Yes,No,19,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,95.95,1732.97,No
0046-WEAAS,Male,0,No,No,3,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Electronic check,85.4,261.03,Yes
0047-BULZF,Female,0,No,No,20,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),83.52,1676.9,No
0048-WDWKX,Male,0,Yes,Yes,0,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,114.16,,Yes
0049-QFXET,Female,1,Yes,No,36,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,115.94,4204.57,Yes
0050-BFVKP,Male,0,No,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,45.05,3384.51,No
0051-PAIFP,Female,0,No,Yes,9,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Credit card (automatic),108.12,1010.64,No
0052-CTDSZ,Male,0,No,Yes,7,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,121.08,879.18,No
0053-CSTGT,Female,0,Yes,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),42.91,584.93,Yes
0054-IAHGR,Male,0,No,Yes,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),45.85,1089.8,No
0055-HAKYY,Male,0,Yes,No,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),43.12,206.39,No
0056-RWJCG,Female,0,Yes,No,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,38.81,1494.99,Yes
0057-PZPYT,Female,0,Yes,Yes,5,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),105.66,514.39,Yes
0058-QBAPL,Female,0,No,No,0,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,77.29,,Yes
0059-EEWII,Female,1,Yes,No,18,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),123.54,2139.22,Yes
0060-CSPPC,Female,1,Yes,Yes,3,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Two year,No,Mailed check,98.08,289.85,Yes
0061-TXVXA,Female,0,Yes,No,29,No,No phone service,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,62.69,1732.53,No
0062-XTKQH,Female,0,Yes,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),49.96,195.1,No
0063-DFHTC,Female,0,Yes,Yes,42,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),105.58,4566.53,No
0064-PYCYR,Male,0,No,Yes,15,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Electronic check,83.83,1310.96,Yes
0065-NRBVC,Male,0,No,No,20,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,110.96,2199.88,Yes
0066-PIDAD,Male,0,No,No,5,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),126.52,618.66,Yes
0067-ANUPT,Male,0,Yes,No,3,No,No phone service,Fiber optic,No,No,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),82.78,250.19,No
0068-XHGCQ,Female,0,Yes,Yes,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,39.36,900.02,No
0069-APLSV,Male,0,No,No,7,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,61.43,422.84,Yes
0070-WVNFF,Male,0,Yes,Yes,12,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Two year,No,Electronic check,91.94,1134.84,Yes
0071-MSVHB,Female,0,No,No,16,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,91.65,1395.98,Yes
0072-UAOAE,Male,0,No,No,6,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,No,Electronic check,119.11,698.63,Yes
0073-PSDCQ,Female,0,No,No,39,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Electronic check,127.71,4828.26,No
0074-QLNUF,Male,0,Yes,Yes,70,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),91.14,6285.65,No
0075-CIEXQ,Male,0,Yes,No,14,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,100.89,1352.05,No
0076-NUCAT,Female,0,Yes,Yes,62,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Electronic check,85.18,5242.7,No
0077-UWACR,Female,0,No,Yes,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),43.39,2292.88,No
0078-YJVZC,Male,0,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,No,Mailed check,96.78,371.49,No
0079-HNXRO,Male,0,No,No,4,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Two year,No,Mailed check,114.9,474.35,No
0080-VWBJB,Male,0,Yes,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),37.47,613.17,No
0081-ZQHAI,Female,0,No,No,18,Yes,No,DSL,No,No,No,Yes,No,No,Two year,Yes,Mailed check,73.68,1294.65,No
0082-KVPGJ,Female,0,No,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,36.84,355.28,No
0083-WZCRY,Female,0,Yes,No,9,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,23.69,223.83,No
0084-XMZGY,Female,0,Yes,No,14,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,71.99,960.14,Yes
0085-DMTAH,Female,0,No,No,29,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),123.18,3578.86,Yes
0086-NPNLS,Female,0,No,No,2,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,111.03,227.29,No
0087-WOBBW,Male,0,Yes,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),40.87,1279.78,No
0088-VSYZV,Female,0,Yes,No,65,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),95.34,6210.85,Yes
0089-ZZVQT,Female,1,No,No,36,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,97.02,3519.51,No
0090-JFOVK,Male,1,Yes,Yes,5,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),84.79,440.54,Yes
0091-EAHUL,Male,0,Yes,Yes,2,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,88.79,175.94,Yes
0092-LEGDF,Female,0,No,No,16,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Electronic check,103.46,1634.38,No
0093-MTOCW,Female,0,No,No,72,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),73.7,5513.78,Yes
0094-HTPMR,Female,1,No,No,42,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,Yes,Electronic check,108.21,4647.9,No
0095-JSQXS,Female,0,Yes,Yes,20,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,130.6,2655.5,Yes
0096-ZWZEZ,Male,0,No,No,3,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,23.24,67.38,No
0097-UWILU,Male,0,No,Yes,31,No,No phone service,DSL,No,No,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),48.73,1499.61,No
0098-AZZAO,Male,0,No,No,41,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Electronic check,110.63,4489.27,Yes
0099-BVPYH,Female,0,Yes,Yes,68,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),117.5,8321.08,No
0100-MUAPG,Male,0,Yes,No,23,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),97.01,2130.27,Yes
0101-EVWCL,Female,0,Yes,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,31.1,586.92,No
0102-ZPSEV,Male,0,No,No,24,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Mailed check,120.0,2999.12,No
0103-YNEOQ,Female,1,No,No,71,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,105.39,7584.69,No
0104-NTELP,Female,0,Yes,No,24,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,114.07,2717.23,No
0105-ZZPUG,Male,0,Yes,No,7,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,109.55,787.57,No
0106-DAEWZ,Male,0,Yes,No,25,No,No phone service,DSL,No,No,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),64.4,1663.83,No
0107-JVEDB,Female,0,Yes,No,52,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,One year,Yes,Electronic check,109.13,5489.21,No
0108-TJZSZ,Male,0,No,No,20,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,No,Credit card (automatic),101.97,2116.02,Yes
0109-AXEMD,Female,0,No,No,17,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Electronic check,101.11,1658.13,No
0110-PXPWB,Female,1,Yes,Yes,33,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Credit card (automatic),96.08,3140.61,No
0111-QTXLR,Male,0,Yes,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,41.48,1086.76,No
0112-CAASK,Male,0,Yes,No,1,No,No phone service,Fiber optic,No,No,No,No,No,No,One year,No,Bank transfer (automatic),59.94,60.18,No
0113-ELCAA,Female,0,No,No,32,Yes,Yes,DSL,No,No,Yes,Yes,No,No,One year,No,Mailed check,94.88,3167.11,No
0114-HJKLM,Female,0,Yes,No,13,Yes,No,DSL,No,Yes,Yes,No,No,No,One year,Yes,Electronic check,88.2,1128.77,Yes
0115-LNBSR,Female,0,No,Yes,70,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,76.19,5502.96,No
0116-CWQZH,Female,0,No,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,56.86,4099.15,No
0117-ZJZBS,Female,0,No,No,14,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,50.32,726.62,No
0118-IGDZU,Female,0,No,No,72,Yes,Yes,DSL,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),93.31,6987.35,No
0119-RMKXD,Male,0,No,No,9,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),110.66,989.4,No
0120-YUYDJ,Male,1,Yes,Yes,28,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),103.19,2859.04,No
0121-EIXCQ,Male,0,No,No,1,No,No phone service,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,89.22,86.65,Yes
0122-CPDRQ,Female,0,No,No,3,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Electronic check,87.61,273.1,No
0123-GXWEL,Female,0,Yes,Yes,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),41.83,2099.83,No
0124-QWMWY,Male,1,Yes,No,56,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),53.36,2976.67,No
0125-CIQQT,Male,0,Yes,No,19,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),105.91,1990.31,No
0126-PYVMS,Male,0,Yes,No,10,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,84.12,807.75,No
0127-QDLIS,Female,0,Yes,Yes,14,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),98.31,1335.06,Yes
0128-LIGNT,Female,0,No,No,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,35.42,1732.59,No
0129-SZOPU,Female,0,No,Yes,5,No,No phone service,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,77.89,404.44,No
0130-ECLYT,Male,0,No,No,8,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,No,Electronic check,117.06,952.17,No
0131-UDUWP,Male,0,No,No,38,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,101.98,3753.09,No
0132-YGMUJ,Male,0,No,No,68,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,85.55,5731.18,No
0133-ZGNZE,Female,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Mailed check,90.78,175.89,No
0134-CWKKR,Male,0,Yes,No,40,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,91.95,3601.34,No
0135-OLIJZ,Male,0,No,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,32.64,787.92,No
0136-LQFGN,Female,0,Yes,No,6,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,One year,No,Bank transfer (automatic),95.98,594.31,No
0137-MHJIR,Female,0,No,No,35,No,No phone service,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Electronic check,70.5,2358.46,No
0138-ZBEEF,Male,0,No,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),42.14,1341.28,No
0139-SHPMA,Female,0,No,No,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),54.56,160.18,Yes
0140-VTQGY,Male,0,Yes,No,17,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),116.81,1966.85,No
0141-MDDFS,Female,0,Yes,No,35,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.49,2746.26,Yes
0142-LVGJZ,Female,0,Yes,No,5,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,96.76,481.77,Yes
0143-SGCMM,Female,0,Yes,No,15,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,101.8,1517.14,No
0144-RZTHI,Female,1,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,47.48,141.3,No
0145-GACMY,Female,0,Yes,No,9,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),76.13,660.83,Yes
0146-QYXAF,Female,0,No,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),33.17,200.19,No
0147-UFZLM,Male,0,Yes,No,17,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,54.06,898.92,No
0148-MOUPV,Male,0,No,No,3,Yes,No,DSL,Yes,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),97.86,296.88,Yes
0149-UKEDC,Male,0,Yes,No,12,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),98.06,1195.87,No
0150-STYRO,Female,0,Yes,No,8,No,No phone service,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),60.39,498.32,No
0151-IQNOA,Female,0,No,No,34,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Credit card (automatic),87.6,3039.45,No
0152-UVVCP,Male,0,No,No,30,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Electronic check,102.62,3114.32,No
0153-WYKLJ,Male,0,Yes,No,2,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),113.47,233.06,No
0154-PHFLX,Male,0,No,Yes,72,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Bank transfer (automatic),110.9,8113.82,No
0155-UHZDZ,Female,0,No,No,34,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),85.23,2852.45,No
0156-HZREI,Male,0,No,No,23,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),89.42,1977.14,No
0157-DVQIA,Male,0,No,No,16,No,No phone service,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,83.59,1371.35,No
0158-UTMPM,Male,0,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,45.44,176.62,No
0159-NCFRS,Male,0,No,No,72,Yes,No,DSL,No,No,Yes,No,No,Yes,Two year,Yes,Mailed check,86.32,6440.04,No
0160-EOYBJ,Female,0,No,No,0,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,Yes,Electronic check,114.43,,No
0161-XRMEW,Male,0,No,No,29,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,78.62,2268.2,No
0162-XAVAR,Male,0,No,No,17,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),75.97,1351.3,No
0163-OQKUZ,Female,0,No,No,58,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Two year,Yes,Electronic check,129.37,7691.8,No
0164-YVQMA,Female,0,Yes,No,11,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Mailed check,89.4,981.61,Yes
0165-BICAU,Female,0,Yes,No,18,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),113.69,2005.47,No
0166-PWFQE,Female,0,No,No,33,Yes,No,DSL,Yes,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),88.52,2852.49,No
0167-EFCUW,Female,0,No,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),48.45,47.29,Yes
0168-EUEJJ,Male,0,Yes,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,47.46,47.27,No
0169-SQUNI,Male,0,Yes,Yes,5,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,89.3,432.7,Yes
0170-NASMM,Male,0,No,No,3,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),114.78,351.72,No
0171-DAQHB,Female,1,Yes,No,0,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,85.38,,No
